NELEVE	AAPPL	DSOLI	EENVI	MATER	MCFLU	MMCON	ALGPR	ANUME	SYSTE	AUTOM	M3SYS	PEIN1	RDMAT	TCMEC	TPMEC	COMM1	COEN1	EPSP1	LV1A1	LV2A1
195	15	11,3	9,7	12,82	13,84	5	9,5	12,5	11	14,72	13,75	15	11,79	12,83	15	12	12,38	14	13,1	12,1
196	12	5	11,53	12,82	11,52	4,5	14,5	7,33	11	16,11	11,5	16,75	7,95	16,43	15	12	13,5	15,5	14,32	13,35
197	8	5,6	7,82	12,86	10,55	4,5	9,5	6,67	7	10,11	11,25	15,25	5,06	13,43	15	11	11,38	18	12,4	12,5
198	7	11,4	11,25	12,91	9,16	6	10,33	7,17	11	11,17	8,5	15,75	9,43	12,6	15	9,25	11,5	15,5	14,22	11,38
199	11	13,1	12,87	12,93	11,77	9	11,83	7,17	10	14,11	15,25	15,75	15,95	14,33	15	12,5	11,38	16,5	13,56	11,8
200	12	5,6	9,89	12,93	11,57	4	12	8,5	10	11,72	9	17,25	9,31	14,27	15	14	14,75	16,5	13,15	13,38
201	11	12,3	12,82	12,95	11,32	16	13,5	13,67	12	13,72	11,75	15,75	11,66	16,27	15	11	12,88	16	12,93	9,96
202	10	11,7	16,43	12,95	12	13,5	10,33	14	11	14,67	10,75	17,25	12,74	10,93	14	11,5	12,25	17	11,4	9,62
203	10	15,6	14,57	12,95	10	12	11,17	11,5	9	9,67	8,5	14,5	9,85	13,43	15	4,75	8	14,5	9,95	8,94
204	14	7,2	12,08	12,98	10,84	2	14,33	10,33	9	13	13,25	14,5	14,47	10,93	15	12	13,88	17	13,82	13,12
205	17	12,5	14,77	13,05	13,64	10,5	16	12,83	9	11,17	13	15,5	10,1	16,2	15	13	11,25	17	14,61	15,05
206	18	12,9	14,56	13,05	13,23	9,5	11,17	11,83	8	15,5	12,75	15,75	11,75	15,1	15,5	11	12,75	19	12,95	11,98
207	16	14,7	12,39	13,05	10,96	8,5	13,33	9,67	9	10,61	11,25	15,75	11,99	13,77	15	14	10,5	17	12,05	13,45
208	9	15,4	11,73	13,05	8,77	6,5	15	11,83	9	10,83	10	15,5	7,86	15,9	15	9,75	11,75	16	11,82	11,72
209	17	19,8	18,09	13,05	11,7	3	15,5	9,5	9	16,94	10,25	16,5	11,91	16,43	15	13,25	15	15	11,06	14,45
210	8	10,5	17,02	13,09	14,26	12	13,5	7,33	9	12,47	10	14,75	10,93	17,17	15	12,5	11,5	16	13,91	13,55
211	17	13,1	10,65	13,14	11,91	14	14,67	10,83	9	10,28	11,25	15,75	10,96	15	14	8	11,5	17,5	14,9	9,36
212	9	8,4	10,6	13,18	12,16	10	11,83	5,17	10	13,56	10,5	15,5	8,69	13	15	12,5	16	16,5	13,18	14,35
213	18	6,9	12,6	13,18	12,6	7	9,33	13,33	11	14,94	15,25	16,25	14,14	12,17	15	12,5	13	16	13,8	15,45
214	16	4,2	11,1	13,23	11,95	19	8,67	9,67	9	12,11	14,5	17,25	14,22	12,67	15	12	13	17,5	13,25	13,05
215	6	9,3	12,43	13,23	10,18	8,5	10,67	11,67	11	13,39	14,75	16,5	13,55	13	15	14,5	11,38	15,5	13,6	15,12
216	8	9	8,44	13,23	12,34	5	13,33	11,33	10	14,11	8,5	15,25	11,62	15,6	15	10	14,75	17	14,2	11,26
217	16	13,4	16,67	13,27	14,54	12,5	14,67	13,5	13	13,28	13,75	15,75	14,22	15,27	15	14	14,88	15,5	14,05	17,1
218	18	13,1	17,46	13,27	14,16	8	12,17	13,5	12	14,06	14,75	16	15,59	18,37	15	15	13,25	17	12,15	10,9
219	14	10,4	15,29	13,3	13,59	13,5	14	10,67	12	15,94	10	15,75	7,54	14	15	11,5	12,75	15	10,7	12,24
220	10	15	11,95	13,32	11,77	9	11,83	8,83	11	13,08	9,5	15,75	12,15	13,6	15	12,75	11,75	17	14,68	15,14
221	8	16,9	10,28	13,32	10,23	5	12,17	9,33	10	13,5	13	16,75	6,42	15,93	15,5	14,5	12,5	0	14,07	14,43
222	11	11,9	13,62	13,36	14,23	14,5	12,67	8,5	8	14,33	8	16	12,57	15,93	15	13	11,75	0	12,65	12,97
223	15	14,8	9,81	13,36	14,09	12,5	16,67	16,17	11	15,44	14,5	16	9,69	17,5	15	15	16	17,5	13,25	12,98
224	14	5,1	10,94	13,36	13,59	9	10,33	11,5	11	12,56	11	15,5	9,69	14,7	15	14	15,75	18	13,45	14,15
225	12	10,9	13,53	13,36	15,64	9	11	7,17	11	16	13	15	10,93	16,67	15	14,5	12,75	15	14,55	16,14
226	7	6	10,7	13,41	11,66	9,5	10,67	5,17	8	11,94	11	16,25	12,99	16,43	15	12	10,62	18	12,4	12,97
227	6	10,5	13,46	13,41	13,11	6,5	13,17	17	14	11,94	13,5	16	15,46	15,43	15	14	12,75	17,5	13	12,25
228	11	15,8	12,85	13,41	9,75	5,5	11	11,17	4,9	9,67	11,75	15,75	10,21	16,67	15	7	9,75	16	11,3	10,14
229	6	10,5	11,72	13,41	9,73	3	13,83	10,33	9	14,28	12	16,5	9,72	15,27	15,5	13,25	12	18	14,97	12,47
230	10	11,3	11,52	13,41	11,84	0	13,17	9,17	9	14,44	12,25	15	9,65	15,2	15	12	10,25	17	14,45	13,38
231	15	13,1	13,62	13,45	12,04	8,5	12,17	11,83	11	13,78	11,25	15,75	15,46	18,33	15,5	15	11,5	18	8,35	12,78
232	16	4,2	11,86	13,45	13,98	6,5	11	12,67	12	13,17	15,25	15,25	8,99	14,77	15	15	16	17	14,9	12,97
233	15	8,4	13,08	13,45	14,18	5	8,5	13,67	8	12,14	14	15,75	9,2	13,5	15	14,25	14,25	18	14,65	13
234	14	4,3	9,95	13,5	12,45	9	11,5	9,33	9	11,89	13,75	15,5	13,81	15,3	15	12,5	13,5	17,5	12,15	12,63
235	11	11,7	11,34	13,5	12,21	5,5	10,83	7,5	10	12,78	8,75	16,5	7,21	15,5	15,5	12	12,75	0	10,15	10,86
236	6	7,8	11,18	13,5	11,7	5	8,5	13,33	9	9,69	10,5	15,5	9,01	11,13	15	14,25	11,5	17,5	13,57	12,95
237	14	11,7	13,57	13,5	14,23	3	13,17	11,83	10	13	14,5	15	8,74	14	15	14	14,75	17	11,35	12,45
238	10	15	12,64	13,55	13,81	6,5	11	4,67	8	14,39	8,75	16	13,16	16,43	14,5	13,5	14,75	16,5	14,4	14,22
239	14	15	14,94	13,55	14,48	6,5	12,83	12	11	17,5	16,25	16	10,68	16,93	15	13	9,75	15	13,97	11,85
240	16	12,1	15,25	13,59	13,59	10,5	10,67	14	12	12,5	16,5	15,25	12,78	15,43	16	10,5	15	17,5	14,28	12,41
241	17	4,7	13,17	13,59	11,57	5,5	11,67	12	12	15,94	14,5	15,75	10,68	11,67	15	12	11,5	15,5	11,75	13,22
242	12	12,2	6,6	13,64	11,75	12	6,17	9,17	10	12,72	13,25	15,5	11,75	13,5	15	4,5	11,25	17	10,53	11,28
243	16	8,9	12,6	13,64	13,47	7,5	13,33	6,83	10	10,06	10	15	9,19	15,77	15	11,75	11	17	12,93	12,38
244	18	10,9	14,54	13,73	15,09	9,5	10	13,83	11	14,44	14,25	15,75	14,15	13,4	15	15,75	13,38	15,5	13,1	13,38
245	5	10	10,34	13,73	11,45	5	10,33	9,17	9	15,28	11	15,25	10,59	15,67	15	13,5	11	15	15,32	11,64
246	13	11,5	11,34	13,73	12,04	5	9	8	4,9	9	11	14,75	12,16	16,43	15	11,75	9,75	16	8,5	11,34
247	14	8,5	13,26	13,77	8,6	6,5	8,67	9,5	8	12,25	11,5	10	5,71	14,17	14,5	13	12,75	16	13,56	13,86
248	15	13,1	12,81	13,82	15,61	9	15,67	12,5	8	15	16,75	15,75	15,59	12,77	15	11,5	15,12	15,5	11,35	13,22
249	12	15,9	11,43	13,86	12,18	12	13,5	17,17	8	13,44	11,25	15,25	12,65	16,5	15,5	11,25	11,5	18	12,2	12,38
250	9	18,3	12,81	13,86	10,77	10,5	10	5,33	10	11,06	11	15,25	5,85	12,17	15	9	9,75	17	13,45	11,82
251	11	11	13,03	13,86	10	9,5	12,83	12,17	8	14,28	11,75	16	11,21	13,77	15	12,75	15	14	12,53	12,62
252	11	7,2	12,54	13,91	10,27	12	12,67	7,83	8	14,33	14	16,5	13,15	13,1	15	12,5	10	17	13,28	11,8
253	10	12,6	12,87	13,91	12,57	8,5	11,33	12,5	13	15,44	10,25	16	13,11	14,5	15,5	13,5	11	15,5	12,25	11,35
254	14	7,5	9,49	13,91	11,68	5,5	12,67	8,5	12	13,39	9,5	16,5	8,9	15,5	15	13,5	12,12	17,5	13,25	14,07
255	16	13,1	15,19	13,95	14,82	14,5	16,17	14,67	10	14,44	10,25	15,75	16	17,43	15,5	13,5	16	17	13,25	14,28
256	13	10	12,51	13,95	11,55	11,5	9,17	8,33	12	15,61	12	15,5	11,09	15,2	15	14	9,62	17	13,05	14,12
257	12	9,1	13,27	14,05	14,64	14,5	14,33	14,5	11	12,78	15,75	16,5	14,97	13,9	15	14	13,75	15	12,97	13,35
258	15	9,8	10,99	14,05	12,64	11,5	13,83	13,83	10	15,06	10,25	16	14,51	14,6	15	12	15	17	13,15	12,7
259	13	16,9	10,64	14,05	9,32	7,5	10,83	8,33	9	8,89	9,25	16,5	9,26	18,37	15	13,75	13,75	15	12,94	13,43
260	9	6,5	9,21	14,05	12,12	5,5	15,33	12,5	10	10,42	11	15,75	5,15	15,5	15	12,5	12,25	16,5	15,15	12,45
261	12	12,2	14,6	14,09	12,61	12	14,33	10,5	13	14,94	12,75	16,5	10,51	15,93	15	15	15,5	18	13,6	11,97
262	9	10,7	15,91	14,09	13,16	6	12,17	9,33	9	15,33	10,25	16,25	13,97	18,1	15	10,5	12,75	17	11,32	14,07
263	10	7,5	8,56	14,09	11,15	3,5	12	4	8	15,44	10,25	10	5,71	12,43	15	10,75	10	17	14,1	12,43
264	14	10,3	11,63	14,11	13,36	9,5	9,83	12,17	9	12,22	8,75	16	10,68	16,33	15	12,5	11,5	18	13	13,35
265	14	15,6	11,71	14,14	13,43	13	14	13,5	11	16,28	14,5	16,5	8,57	16,83	15	13,5	13,25	15	12,55	12,57
266	8	10,5	14,05	14,14	12,93	10,5	18	10,5	9	12,61	15,25	14,75	11,49	13,07	15	14	14,12	17,5	13,57	13,76
267	13	14,6	14,85	14,14	12,91	9,5	10,33	14,5	12	14,94	13,25	15,75	11,05	16	15	16	14,75	16	14,75	12,93
268	12	9,3	15,88	14,14	9,66	7,5	13,67	4,5	10	11,17	13,5	15,25	13,44	13,17	15	11	11,75	17	13,78	10,64
269	16	7,8	11,42	14,23	10,55	11	11,83	8	10	13,06	11,25	17	9,6	13,83	15	12,25	10,75	18,5	12,4	13,8
270	12	13	12,01	14,27	11,25	6	13,33	13,67	13	16,94	14,25	15,75	13,11	18,17	15	12,5	15,25	16	12,22	13,02
271	7	5,9	11,07	14,27	12,93	3	9	6,33	12	12,44	10,5	15,75	7,7	14	15	14	8,25	18	14,24	10,4
272	8	6,3	15,72	14,36	12,16	8,5	13,83	9,33	11	13,83	14,25	15,25	11,34	14,17	15,5	12,25	14	18	13,62	12,57
273	16	11,4	13,39	14,36	14,76	8,5	13,33	11,17	9	14,58	11,5	15,75	15,05	15,67	15	13,75	14,38	15,5	13,91	12,75
274	12	2,2	12,35	14,36	10,46	4	10,67	6,17	9	7,56	10,75	14,5	4,78	12,7	15	11	4,75	17,5	14,35	12,93
275	11	11,6	12,7	14,41	13,19	15	16	8,83	10	14,19	11	10	11,74	15,5	15	12,75	15,75	16,5	15,45	14,62
276	12	12,5	13,97	14,41	12,66	7,5	11,67	11,5	9	16,94	12	15	13,03	15,27	15	14	13,5	16,5	12,62	11,12
277	15	12,2	14,29	14,41	12,7	3,5	12,83	11,33	10	16	12	17	13,44	15,83	15	14	14,5	14	12,32	14,55
278	9	19,1	11,28	14,41	12,09	2,5	8,83	12,67	8	13,94	12,25	14,75	12	13,43	15,5	12,5	8,5	18	10,57	12,12
279	12	4,5	12,8	14,43	12,04	7,5	16,33	9,33	9	16,78	12,75	15,25	10,84	12,43	15	12,75	11	16	12,03	10,69
280	9	15	11,34	14,45	12,43	10	12,67	9,83	9	15,83	14,25	15	13,19	15,6	15	14	14,25	18	12,78	12,4
281	13	15,6	12,62	14,45	11,62	6	14,33	11,67	9	14,61	16,5	16	8,78	15,4	15	12,5	14,88	17,5	13,6	15,43
282	7	6	11,83	14,55	12,63	4	13,83	8	9	12,83	13,75	16,5	9,6	14,3	15	12,75	9,75	15,5	12,65	13,8
283	8	9,1	13,39	14,55	14,75	2	11,33	13,17	7	16,22	11	14,75	7,46	16,33	15	13,5	14,62	18	13,75	12,44
284	11	9,1	11,87	14,55	13	2	12,5	8,17	9	13,56	9	16	11,93	16,5	14,5	11,25	16,12	16	12,15	14,5
285	11	15,3	15,99	14,57	12,25	14	13	15,17	12	13,83	15,5	15,75	11,82	12,43	14,5	11,5	14,62	15	13,45	14,93
286	11	11,5	15,21	14,57	12,16	10,5	9,67	8,17	12	14,17	8,75	16	12,57	16,17	15	13	8,25	15	12,32	11,12
287	10	11,4	13,08	14,64	12,86	7	13,5	14,83	10	14,11	17,25	15,75	11,62	15,43	15	12,5	14,25	16	14,05	10,15
288	18	15,9	15,16	14,68	12,32	8,5	16,33	15,17	9	14,06	13	16,5	12,24	12,77	15,5	13,25	13,75	17	13,5	14,62
289	9	6,4	11,75	14,68	11,64	7,5	13	11,17	7	11,89	11,25	15,75	10,21	14,17	15	13	12,75	16	12,22	10,94
290	9	8,3	13,78	14,73	11,61	10,75	11,17	10	10	9,61	12	17	9,78	15,77	15	15	11	14,5	12,9	14,47
291	13	5,1	15,96	14,82	12,36	2	12,5	13,17	10	15,39	11,25	16	10,51	14,67	15	10,5	13,25	17	11,65	13,57
292	15	10,6	13,7	15	13,23	11,5	15,17	9,83	10	14,44	14,5	15,5	13,78	15,23	15	14	14,75	17	13,75	14,15
293	9	15,1	11,08	15	13,8	10	14	9,67	10	13,72	16,25	13,5	13,24	15,17	15	12	13,62	18	13,8	13,97
294	10	16,2	14,97	15	13	3	7,83	10,33	12	15,89	16,5	15,75	8,79	14	15	13,5	14,75	17	15,25	15,45
295	15	10,8	12,97	15,25	12	9	14,33	14,5	10	13,72	14,5	11	11,91	13,6	14,5	11,25	12,62	12,5	13,45	13,47
296	18	19,4	15,89	15,36	14,57	14,5	14,5	16,33	10	15,61	13,5	16,5	16,32	13,5	15	12	12	16,5	12,62	13,15
297	18	14,1	15,5	15,64	14,25	10,5	13,67	14,67	11	15,67	14,25	16	12,29	15,43	14,5	13	13,75	14	12,4	12,72
298	17	9,6	13,95	15,64	13,09	6,5	10	12,67	12	14,44	8,25	16	11,46	14,83	15,5	14,75	13,12	18	14,1	13,24
299	11	12,8	11,27	15,82	14,27	11,5	15,17	15	12	12,28	16,25	16,5	14,14	14,57	15	13,25	12,62	11,5	13,47	12,77
